Player,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Event
valynG2,,268,1.03,192.3,0.97,75%,124.1,0.65,0.37,0.09,0.07,26%,14%,3/21,21,173,179,100,24,20,Champions 2025
f0rsakeNPRX,,356,1.03,213.1,1.04,73%,135.5,0.75,0.42,0.09,0.12,31%,17%,5/29,28,266,257,149,31,44,Champions 2025
Wo0tTH,(+2),256,1.03,209.9,1.05,71%,138.2,0.75,0.16,0.13,0.12,30%,26%,7/27,25,193,183,40,34,30,Champions 2025
happyweiXLG,,157,1.03,216.4,1.06,70%,145.8,0.75,0.32,0.10,0.15,39%,10%,2/21,24,118,111,50,15,23,Champions 2025
HYUNMINDRX,,477,1.02,212.7,1.11,68%,141.3,0.76,0.19,0.11,0.09,40%,6%,2/36,36,362,327,92,53,44,Champions 2025
nAtsTL,,148,1.02,194.4,1.06,69%,126.7,0.69,0.18,0.11,0.11,26%,19%,4/21,27,102,96,27,16,16,Champions 2025
MaKoDRX,,477,1.01,171.7,1.02,72%,108.9,0.61,0.37,0.08,0.09,25%,13%,9/68,21,291,284,177,36,42,Champions 2025
d4v41PRX,,356,1.01,186.9,1.03,71%,127.3,0.67,0.26,0.05,0.09,27%,17%,9/54,20,238,230,93,19,31,Champions 2025
VivaXLG,,157,1.01,166.6,0.96,73%,119.6,0.60,0.29,0.06,0.07,34%,13%,3/24,23,94,98,46,10,11,Champions 2025
westsideGX,,261,1.00,187.1,1.00,66%,121.3,0.69,0.19,0.09,0.10,41%,11%,4/35,20,181,181,49,23,27,Champions 2025
madaNRG,(+2),377,1.00,214.2,1.06,66%,137.2,0.75,0.19,0.17,0.20,26%,15%,3/20,31,284,268,71,65,77,Champions 2025
crashiesFNC,,453,1.00,179.5,0.97,71%,120.3,0.62,0.28,0.06,0.08,31%,14%,7/49,22,283,292,129,28,35,Champions 2025
keikoTL,,148,1.00,200.3,0.94,70%,131.0,0.68,0.26,0.13,0.08,35%,14%,2/14,18,101,108,38,19,12,Champions 2025
Demon1DRG,,98,1.00,174.8,1.02,73%,117.0,0.65,0.16,0.04,0.04,38%,10%,2/21,21,64,63,16,4,4,Champions 2025
nobodyEDG,,119,0.99,171.0,0.97,69%,115.2,0.62,0.16,0.04,0.07,30%,27%,3/11,20,74,76,19,5,8,Champions 2025
s0mNRG,,377,0.99,197.2,0.97,75%,124.2,0.68,0.37,0.08,0.10,24%,14%,5/37,23,258,266,140,30,39,Champions 2025
artzinMIBR,,330,0.99,202.1,1.05,73%,127.0,0.66,0.38,0.12,0.15,24%,20%,3/15,24,219,209,124,41,50,Champions 2025
DHT1,,148,0.98,186.0,0.90,68%,122.4,0.64,0.39,0.07,0.11,34%,21%,4/19,27,95,106,57,10,16,Champions 2025
trentG2,,268,0.98,173.5,0.98,72%,117.6,0.62,0.24,0.03,0.08,31%,15%,6/40,21,166,170,63,7,22,Champions 2025
zekkenSEN,,126,0.98,229.3,0.94,68%,157.7,0.75,0.31,0.16,0.21,26%,22%,2/9,23,94,100,39,20,26,Champions 2025
EthanNRG,(+1),377,0.98,175.8,0.93,72%,115.1,0.60,0.42,0.07,0.11,24%,17%,4/24,23,225,243,157,28,43,Champions 2025
araGX,(+1),261,0.97,198.7,1.01,66%,133.8,0.72,0.13,0.18,0.15,29%,14%,3/21,27,189,187,35,48,40,Champions 2025
JemkinRRQ,,137,0.97,215.7,1.06,63%,132.8,0.74,0.13,0.17,0.13,35%,8%,1/13,26,102,96,18,23,18,Champions 2025
BeYNDRX,,477,0.97,170.9,0.98,71%,114.5,0.60,0.26,0.06,0.06,28%,23%,14/61,24,288,294,126,30,27,Champions 2025
xenomMIBR,,330,0.97,155.1,0.95,78%,96.1,0.55,0.53,0.05,0.06,24%,8%,3/39,18,180,190,175,18,20,Champions 2025
RargaXLG,(+3),157,0.96,208.6,0.98,73%,129.8,0.73,0.21,0.17,0.10,34%,8%,1/12,21,115,117,33,27,16,Champions 2025
N4RRATESEN,,126,0.95,190.2,0.87,70%,121.2,0.63,0.39,0.06,0.10,26%,17%,3/18,19,79,91,49,8,13,Champions 2025
domaFNC,,62,0.94,167.3,0.90,73%,119.8,0.58,0.21,0.08,0.06,29%,14%,1/7,13,36,40,13,5,4,Champions 2025
nephhBLG,,95,0.94,164.0,0.88,67%,104.8,0.56,0.29,0.05,0.08,20%,10%,1/10,18,53,60,28,5,8,Champions 2025
LeviusBLG,,95,0.93,188.0,0.99,59%,122.1,0.71,0.17,0.13,0.09,30%,6%,1/16,26,67,68,16,12,9,Champions 2025
MiniBooTH,,256,0.93,204.4,0.95,65%,134.9,0.71,0.16,0.19,0.17,26%,27%,3/11,23,183,192,41,48,44,Champions 2025
kamoTL,(+1),148,0.93,190.3,0.94,63%,128.4,0.68,0.12,0.14,0.24,32%,15%,2/13,22,100,106,18,21,36,Champions 2025
FlicklessGX,,261,0.92,173.7,0.83,74%,115.8,0.56,0.47,0.06,0.07,26%,9%,3/33,17,146,175,122,15,17,Champions 2025
MonyetRRQ,,137,0.92,174.9,0.88,69%,109.6,0.61,0.40,0.05,0.09,28%,11%,2/19,21,84,96,55,7,12,Champions 2025
KushyRRQ,,137,0.91,178.9,0.85,66%,120.7,0.63,0.29,0.07,0.12,40%,14%,2/14,20,86,101,40,10,17,Champions 2025
NiccDRG,,98,0.91,173.5,0.94,77%,121.7,0.65,0.28,0.02,0.06,34%,,0/17,25,64,68,27,2,6,Champions 2025
JonahPG2,(+1),268,0.91,172.8,0.84,71%,108.3,0.58,0.37,0.08,0.10,19%,21%,5/24,26,155,184,99,22,28,Champions 2025
benjyfishyTH,(+1),256,0.89,175.1,0.83,71%,115.0,0.59,0.28,0.06,0.07,27%,17%,6/35,25,152,184,71,16,17,Champions 2025
BoasterFNC,,453,0.89,145.2,0.77,70%,94.0,0.49,0.38,0.04,0.08,22%,16%,5/31,24,220,285,172,18,36,Champions 2025
CHICHOOEDG,(+1),119,0.89,158.2,0.90,69%,113.5,0.59,0.25,0.07,0.08,21%,15%,2/13,21,70,78,30,8,10,Champions 2025
BooTH,,256,0.88,143.7,0.74,71%,93.1,0.50,0.53,0.05,0.09,31%,17%,8/46,16,128,172,135,14,23,Champions 2025
trexxTL,(+2),148,0.87,160.1,0.73,63%,109.7,0.51,0.26,0.04,0.07,20%,4%,1/24,17,76,104,39,6,10,Champions 2025
free1ngDRX,,477,0.86,160.4,0.88,68%,107.1,0.57,0.20,0.09,0.09,35%,16%,8/51,23,270,308,97,43,43,Champions 2025
xfferoRRQ,,137,0.85,172.0,0.88,66%,113.5,0.61,0.20,0.12,0.12,27%,8%,1/12,16,83,94,27,16,16,Champions 2025
BuZzT1,,148,0.85,190.3,0.92,69%,127.4,0.70,0.25,0.06,0.18,25%,38%,3/8,31,103,112,37,9,27,Champions 2025
Flex1nDRG,,98,0.84,184.8,0.85,76%,119.0,0.62,0.40,0.10,0.12,29%,,0/9,20,61,72,39,10,12,Champions 2025
AkemanDRG,,98,0.84,196.8,0.88,62%,124.4,0.69,0.16,0.15,0.13,25%,30%,3/10,20,68,77,16,15,13,Champions 2025
PatMenPRX,,356,0.84,157.8,0.83,68%,106.5,0.55,0.21,0.04,0.06,31%,5%,2/42,21,196,235,76,14,22,Champions 2025
grubinhoGX,,261,0.83,169.1,0.80,70%,108.0,0.60,0.39,0.11,0.10,29%,22%,4/18,17,156,196,102,30,27,Champions 2025
crazyguyRRQ,(+1),137,0.82,152.0,0.71,68%,109.8,0.49,0.33,0.04,0.09,24%,13%,3/24,15,67,94,45,5,12,Champions 2025
Jieni7EDG,(+1),119,0.82,191.8,0.83,67%,117.9,0.65,0.23,0.12,0.08,26%,,0/2,21,77,93,27,14,10,Champions 2025
paTiTekTL,(+1),148,0.81,156.9,0.74,66%,101.1,0.53,0.36,0.03,0.05,27%,9%,1/11,16,78,106,54,4,8,Champions 2025
ZellsisSEN,(+1),126,0.80,152.3,0.77,67%,99.7,0.54,0.27,0.13,0.11,20%,,0/13,16,68,88,34,17,14,Champions 2025
bangSEN,,126,0.79,140.8,0.79,67%,92.4,0.53,0.29,0.06,0.09,35%,11%,1/9,15,67,85,37,7,11,Champions 2025
coconutXLG,,157,0.77,149.6,0.71,71%,92.6,0.50,0.44,0.08,0.07,30%,,0/11,16,79,112,69,12,11,Champions 2025
staxT1,,148,0.75,146.5,0.69,66%,98.8,0.49,0.31,0.03,0.07,38%,10%,2/20,16,73,106,46,4,10,Champions 2025
rushiaBLG,,95,0.72,147.6,0.59,64%,102.3,0.45,0.33,0.06,0.11,19%,,0/12,12,43,73,31,6,10,Champions 2025
whzyBLG,,95,0.63,154.4,0.61,64%,101.9,0.52,0.22,0.11,0.19,31%,,0/2,13,49,80,21,10,18,Champions 2025
