Player,Team,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Event,Region
xffero,RRQ,"Cypher, Viper",137,0.85,172.0,0.88,66.0,113.5,0.61,0.2,0.12,0.12,27.0,8%,1/12,16,83,94,27,16,16,Champions 2025,Pacific
BuZz,T1,Neon,148,0.85,190.3,0.92,69.0,127.4,0.7,0.25,0.06,0.18,25.0,38%,3/8,31,103,112,37,9,27,Champions 2025,Pacific
Flex1n,DRG,Omen,98,0.84,184.8,0.85,76.0,119.0,0.62,0.4,0.1,0.12,29.0,,0/9,20,61,72,39,10,12,Champions 2025,CN
Akeman,DRG,"Waylay, Neon",98,0.84,196.8,0.88,62.0,124.4,0.69,0.16,0.15,0.13,25.0,30%,3/10,20,68,77,16,15,13,Champions 2025,CN
PatMen,PRX,"Fade, Viper, Sova",356,0.84,157.8,0.83,68.0,106.5,0.55,0.21,0.04,0.06,31.0,5%,2/42,21,196,235,76,14,22,Champions 2025,Pacific
grubinho,GX,"Omen, Astra",261,0.83,169.1,0.8,70.0,108.0,0.6,0.39,0.11,0.1,29.0,22%,4/18,17,156,196,102,30,27,Champions 2025,EMEA
crazyguy,RRQ,"Tejo, Sova, Breach",137,0.82,152.0,0.71,68.0,109.8,0.49,0.33,0.04,0.09,24.0,13%,3/24,15,67,94,45,5,12,Champions 2025,Pacific
Jieni7,EDG,"Neon, Breach, Waylay",119,0.82,191.8,0.83,67.0,117.9,0.65,0.23,0.12,0.08,26.0,,0/2,21,77,93,27,14,10,Champions 2025,CN
paTiTek,TL,"Kayo, Skye, Omen",148,0.81,156.9,0.74,66.0,101.1,0.53,0.36,0.03,0.05,27.0,9%,1/11,16,78,106,54,4,8,Champions 2025,EMEA
Zellsis,SEN,"Vyse, Breach, Killjoy",126,0.8,152.3,0.77,67.0,99.7,0.54,0.27,0.13,0.11,20.0,,0/13,16,68,88,34,17,14,Champions 2025,Americas
bang,SEN,"Omen, Astra",126,0.79,140.8,0.79,67.0,92.4,0.53,0.29,0.06,0.09,35.0,11%,1/9,15,67,85,37,7,11,Champions 2025,Americas
coconut,XLG,"Gekko, Omen, Astra",157,0.77,149.6,0.71,71.0,92.6,0.5,0.44,0.08,0.07,30.0,,0/11,16,79,112,69,12,11,Champions 2025,CN
stax,T1,"Fade, Sova",148,0.75,146.5,0.69,66.0,98.8,0.49,0.31,0.03,0.07,38.0,10%,2/20,16,73,106,46,4,10,Champions 2025,Pacific
rushia,BLG,"Omen, Viper, Harbor",95,0.72,147.6,0.59,64.0,102.3,0.45,0.33,0.06,0.11,19.0,,0/12,12,43,73,31,6,10,Champions 2025,CN
whzy,BLG,"Neon, Raze, Yoru",95,0.63,154.4,0.61,64.0,101.9,0.52,0.22,0.11,0.19,31.0,,0/2,13,49,80,21,10,18,Champions 2025,CN
